SerialNo,Types_of_Colleges,Courses,CollegeName,Address1,Address2,City,District,State,Pin,contact_person_name,contact_person_designation,contact_person_email,contact_person_phone
1,Computer Science College,"M.Sc IT, MCA",Arunodaya University,"Lekhi Village, Naharlagun, Itanagar, Dist : Papum Pare, Arunachal Pradesh 791110",,,Papum Pare,Arunachal Pradesh,791110,Mrs. Ashima Misra,Pro-Chancellor,contact@arunodayauniversity.ac.in,090766 01322
2,Computer Science College,,Himalayan University Itnagar,"Chimpu, Near Arunachal Pradesh Forest Corporation Guest House, Gohpur Tinali, Itanagar, Distt. Papumpare- 791111, Arunachal Pradesh",,,Papum Pare,Arunachal Pradesh,791111,,,,0360 220 3618
3,Computer Science College,,Apex Professional University,"Apex Professional University NH 52, 2nd Mile, Gumin Nagar, Arunachal Pradesh - 791102",,,,Arunachal Pradesh,791102,,,,094362 92314
4,Computer Science College,MCA,Rajiv Gandhi University (RGU)," Rono Hills, Doimukh, Arunachal Pradesh, INDIA – 791 112.",,,,Arunachal Pradesh,791112,Prof. Utpal Bhattacharjee,HOD,departmentofcomputerscienceengineering@gmail.com,9435086480
5,Computer Science College,"MCA, M.sc of computer science, M.Sc of IT","Arunachal University Of Studies [AUS], Lohit","NH-52, Namsai, Arunachal Pradesh 792103",,,Namsai,Arunachal Pradesh,792103,,,,03806 202 797
6,Computer Science College,,"Institute Of Distance Education, Rajiv Gandhi University, Itanagar","Institute of Distance Education, Rajiv Gandhi University, Rono Hills, Doimukh, Pincode 791112, Arunachal Pradesh, India",,,,Arunachal Pradesh,791112,,,,0360 227 7253
7,Computer Science College,,"North East Frontier Technical University - [NEFTU], West Siang","Aalo Post Office, West Siang Distt, National Highway 229, Medog, Aalo, Arunachal Pradesh 791001",,,,Arunachal Pradesh,791001,,,info@neftu.dtu.edu.in,03783 222 444
8,Computer Science College,, q,Venkateshwara Open University · Address,,,,Arunachal Pradesh,,,,,1800 103 9417
9,Computer Science College,,NERIST Nirjuli,"NH-15A, Nirjuli, Dist Papum Pare, Nirjuli Complex, Doimukh, Arunachal Pradesh 791109",,,Papum Pare,Arunachal Pradesh,791109,,,,0360 225 7401
10,Computer Science College,,NIT Arunachal Pradesh," Doimukh Road, YUPIA, Nirjuli, Arunachal Pradesh.",,,,Arunachal Pradesh,,,,,0360 228 4801
11,Computer Science College,,"Apex Professional University, Pasighat",", NH-52, Pasighat Smart City, District East Siang, Arunachal Pradesh - 791102, India",,,East Siang,Arunachal Pradesh,791102,,,,0360-2954549
12,Computer Science College,,North Eastern Regional Institute of Science and Technology (NERIST),ITANAGAR P.O-NIRJULI DISTRICT: PAPRUM PARE ARUNACHAL PRADESH-791109,,,Papum Pare,Arunachal Pradesh,791109,,,,9436631229
13,Computer Science College,,Indira Gandhi Technological and Medical Sciences University,"SSB Gate Campus, SSB Gate, Ziro, Arunachal Pradesh 791120",,,,Arunachal Pradesh,791120,,,,03788 224 202
14,Computer Science College,,"The Global University, Itanagar","Hollongi, Itanagar , Arunachal Pradesh",,,,Arunachal Pradesh,,,,,8004431083
15,Computer Science College,, Assam Down Town University,"Sankar Madhab Path, Gandhi Nagar, Panikhaiti, Guwahati, Assam 781068",,,,Assam,781068,,,,0361 711 0711
16,Computer Science College,, Don Bosco University,,,,,Assam,,,,,
17,Computer Science College,, Assam Agricultural University,"Near Police Reserve, Barbheta, Jorhat, Assam 785013",,,,Assam,785013,,,webadmin@aau.ac.in,0376-2340001
18,Computer Science College,, Assam University,"Assam University , Silchar - 788 011, Assam, India",,,,Assam,788011,,,"vc@aus.ac.in,dean_sot@aus.ac.in",-274557
19,Computer Science College,,Tezpur Central University,"Napaam, Tezpur, Chariduar, Assam 784028",,,,Assam,784028,,,,03712 267 007
20,Computer Science College,,Dibrugarh University,"National Highway 37, Dibrugarh West, Assam 786004",,,,Assam,786004,,,registrar@dibru.ac.in,0373 237 0231
21,Computer Science College,,Gauhati University,"National Highway 37, Gopinath Bordoloi Nagar, Guwahati University, Jalukbari, Guwahati, Assam 781014",,,,Assam,781014,,,,0361 257 0415
22,Computer Science College,,Indian Institute of Technology,"IIT Rd, Namati Jalah, Guwahati, Assam 781039",,,,Assam,781039,,,,0361 269 0761
23,Computer Science College,, Assam Engineering College,"Jalukbari, Guwahati, Assam 781013",,,,Assam,781013,,,,0361 257 0550
24,Computer Science College,,Gauhati Medical College and Hospital,"Gs Road, Third Eye Systems And Projects, Bhangagarh Guwahati, Guwahati, Assam",,,,Assam,,,,,0361 252 9457
25,Computer Science College,,Regional Dental College,"Gmc Hospital Road, Mamsa Devi Mandir, Ananda Nagar Guwahati, Guwahati, Assam",,,,Assam,,,,,0361- 2515522
26,Computer Science College,,Regional College of Nursing," Indrapur, Guwahati - 781 032 Assam",,,,Assam,781032,,,,-2130507
27,Computer Science College,, Gauhati Commerce College,"Gcc Centre Of Managment Studies, Rg Baruah Road, Chandmari, Guwahati, Assam 781021",,,,Assam,781021,,,,0361 241 0064
28,Computer Science College,,College of Veterinary Science under AAU,"Assam Agricultural University, Khanapara, Guwahati, Assam 781022",,,,Assam,781022,,,,0361 233 7700
29,Computer Science College,, Government Ayurvedic College,"Jalukbari, Guwahati, Assam 781014",,,,Assam,781014,,,,0361 257 0455
30,Computer Science College,,Arya Vidyapeeth College,"Gopinath Nagar, Guwahati, Assam 781016",,,,Assam,781016,,,,0361 247 4065
31,Computer Science College,, B. Borooah College,"Dr. B.Baruah Road, Ulubari, Guwahati, Assam 781007",,,,Assam,781007,,,,0361 245 7363
32,Computer Science College,, Handique Girls College,"Dighali Pukhuri, Guwahati, Assam 781001",,,,Assam,781001,,,,0361 254 3793
33,Computer Science College,,Pandu College,"Dist: Karbi Anglong. State: Assam, India, Gauhati, Assam",,,,Assam,,,,,0361 257 0450
34,Computer Science College,,LCB College,"Maligaon, Guwahati, Assam 781011",,,,Assam,781011,,,,0361 267 5259
35,Computer Science College,,West Guwahati Commerce College,"WGC College St, Pandav Nagar, Pandu, Guwahati, Assam 781012, Maligaon, Assam 781012",,,,Assam,781012,,,,070027 99830
36,Computer Science College,,K.C.Das Commerce College,"Kc Road, Lions Eye Hospital, Athgaon Guwahati, Guwahati, Assam 781001",,,,Assam,781001,,,,094357 07157
37,Computer Science College,, Institute of Management & Information Technology,"98, Maniram Dewan Road, Chandmari, Guwahati, Assam 781021",,,,Assam,781021,,,,0361 265 9944
38,Computer Science College,,Indian Institute Of Technology,"IIT Rd, Namati Jalah, Guwahati, Assam 781039",,,,Assam,781039,,,,0361 269 0761
39,Computer Science College,, North Eastern Regional Institute of Management,"Padma Nath Sarmah Bhawan, Tripura Road, Joyanagar, Khanapara, Guwahati, Assam 781022",,,,Assam,781022,,,,099541 90758
40,Computer Science College,," North Eastern Regional Institute of Management, Kamrup","Padma Nath Sarmah Bhawan, Tripura Road, Joyanagar, Khanapara, Guwahati, Assam 781022",,,,Assam,781022,,,,099541 90758
41,Computer Science College,," Assam Engineering College, Guwahati","Jalukbari, Guwahati, Assam 781013",,,,Assam,781013,,,,0361 257 0550
42,Computer Science College,,Girijananda Chowdhury Institute of Management and Technology,"Hathkhowapara, Azara, Guwahati, Assam 781017",,,,Assam,781017,,,,0361 284 3404
43,Computer Science College,, Jorhat Engineering College,"JEC Road, Garmur, East Jorhat, Assam 785007",,,,Assam,785007,,,,0376 233 0134
44,Computer Science College,,Tezpur University ,"Napaam, Tezpur, Chariduar, Assam 784028",,,,Assam,784028,,,,03712 267 007
45,Computer Science College,, K.K. Handique State Open University," Housefed Complex, Last Gate, Dispur, Guwahati – 781 006, Assam",,,,Assam,781006,,,,0361 223 5971
46,Computer Science College,,National Institute of Technology,"SH 39, Masimpur, Silchar, Assam 788010",,,,Assam,788010,,,,03842 242 273
47,Computer Science College,,NEF College of Management & Technology,"Gmch Road, Ananda Nagar, Christianbasti Guwahati, Assam - 781005",,,,Assam,781005,,,,2612784293
48,Computer Science College,,"National Education Foundation, Guwahati (Assam)","National Education Foundation Trust Ananda Nagar, Christianbasti Guwhati-781005, Assam India",,,,Assam,781005,,,,-2342693
49,Computer Science College,,"Sadba Institute of Technology, Guwahati (Assam)","Ambari, Guwahati, Assam 781001, India",,,,Assam,781001,,,,
50,Computer Science College,,Madhad Choudhury College,"Barpeta, 781301 Assam (India)",,,,Assam,781301,,,,9435024357
51,Computer Science College,,Handique Girls College,"Dighali Pukhuri, Guwahati, Assam 781001",,,,Assam,781001,,,,0361 254 3793
52,Computer Science College,,Guwahati Academy of Teritary Education," Apsarah Palace, Opp. SBI Chandmari Branch, MRD Road, Guwahati, Assam 781021",,,,Assam,781021,,,,092070 43450
53,Computer Science College,,Dispur College,"Ganeshguri, Guwahati, Assam 781006",,,,Assam,781006,,,,0361 234 0530
54,Computer Science College,,Arya Vidyapeeth College,"Gopinath Nagar, Guwahati, Assam 781016",,,,Assam,781016,,,,0361 247 4065
